Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,S Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,42.38775,0.026687,26.02439,0.30946,18.61882,0.014947,-0.007348,0.000369,0.292734,0.013169,0.173351,12.51966,
1,42.04092,0.200178,23.97789,0.942046,18.67024,-0.008529,0.018446,0.028999,0.513278,0.043535,0.179902,13.14818,
2,42.43229,1.327107,16.55364,4.012049,20.10084,0.054787,0.012292,0.1823,1.952449,0.284844,0.175814,11.92654,
3,42.71433,1.943465,10.86381,5.904006,21.4727,0.168905,0.021401,0.314431,3.651237,0.51173,0.151372,10.53729,
4,42.86662,2.124997,7.409148,7.066765,22.29416,0.169158,0.043353,0.399572,5.041937,0.700842,0.155702,9.381621,
5,43.09473,2.170361,5.444308,7.677488,22.79401,0.187651,0.035864,0.446569,6.05584,0.869842,0.095824,8.903736,
6,43.0017,2.162887,4.268251,7.85483,22.9564,0.213254,0.034233,0.479361,6.967147,1.016061,0.130698,8.330515,
7,43.00015,2.141908,3.594075,7.962837,23.02894,0.213578,0.025825,0.482746,7.520752,1.066789,0.136816,8.12032,
8,43.28098,2.103655,3.282917,8.073928,23.22948,0.202577,0.009474,0.520134,7.993211,1.137797,0.086313,8.047338,
9,43.05312,1.953194,3.122949,8.063414,23.11894,0.202636,0.040381,0.498232,8.291625,1.19739,0.110229,7.956851,
10,43.18686,1.840636,2.963505,8.083781,23.19935,0.219071,0.045217,0.49472,8.55493,1.206758,0.132225,7.92091,
11,43.18734,1.752296,2.879032,8.046227,23.24212,0.202628,0.056847,0.507971,8.674712,1.224363,0.149883,7.958772,
12,43.30745,1.777465,2.921886,8.108754,23.19682,0.215894,0.025807,0.502322,8.763842,1.241625,0.151957,8.006372,
13,43.11573,1.784047,2.932764,8.090497,23.07175,0.204196,0.049876,0.485936,8.821645,1.214952,0.107432,8.018419,
14,43.42224,1.738071,2.90735,8.184733,23.26778,0.221749,0.021636,0.492751,8.816773,1.210441,0.145446,8.118828,
15,43.22309,1.784424,2.93679,8.063975,23.18235,0.196506,0.035155,0.481445,8.867723,1.23709,0.125512,7.937383,
16,43.32704,1.922491,2.975854,8.073937,23.1668,0.220419,0.018235,0.481523,8.703509,1.226375,0.112646,8.034954,
17,43.2252,2.103927,2.953398,8.076254,23.17455,0.198999,0.040133,0.480812,8.589792,1.180923,0.152436,8.035675,
18,43.10012,2.050289,3.172218,8.068512,23.12428,0.223872,0.02848,0.468046,8.216082,1.167574,0.139395,8.00286,
19,42.98443,2.13117,3.502609,8.007916,22.97397,0.210111,0.05949,0.497146,7.780393,1.094807,0.132467,8.245442,
20,42.98959,2.119653,4.450076,7.760067,22.92142,0.202915,0.033493,0.49816,6.938652,0.962728,0.142119,8.420145,
21,42.93451,2.096946,6.181335,7.285915,22.54554,0.200705,0.039264,0.431428,5.839065,0.859774,0.171661,9.080184,
22,42.38839,1.939072,9.585526,6.256013,21.50589,0.181543,0.035229,0.324354,4.223599,0.562152,0.145501,9.948288,
23,42.08746,1.20977,17.10277,3.730782,19.81613,0.062985,0.023976,0.174828,1.903438,0.243412,0.191013,11.87848,
24,42.68279,0.120732,25.51831,0.629919,18.81727,0.003427,0.016357,0.016363,0.381409,0.03338,0.206958,12.40048,
