Distance (µm),O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,P Wt%,K Wt%,Ca Wt%,Ti Wt%,Mn Wt%,Fe Wt%,
0,43.68666,1.742533,6.461938,6.890316,22.62725,0.151573,0.322652,8.516606,1.547247,0.099133,7.465174,
1.5,43.43268,1.690328,6.170509,6.880981,22.60696,0.137662,0.299648,8.485128,1.525129,0.106759,7.395753,
3,43.48328,1.649864,6.289678,6.88842,22.66636,0.144079,0.31061,8.358006,1.552475,0.091441,7.368833,
4.5,43.40576,1.691298,6.361041,6.855517,22.5898,0.134494,0.308362,8.285505,1.506779,0.135955,7.272398,
6,43.49294,1.677502,6.47172,6.840453,22.57981,0.145927,0.31263,8.318346,1.485889,0.168854,7.298716,
7.5,43.33106,1.653352,6.435493,6.810544,22.52789,0.124433,0.316805,8.252419,1.515143,0.111708,7.208169,
9,43.52459,1.686694,6.50988,6.831368,22.64705,0.164826,0.320757,8.199846,1.536596,0.12498,7.129695,
10.5,43.49191,1.660754,6.498536,6.874365,22.60308,0.130941,0.344973,8.219317,1.525777,0.113728,7.158567,
12,43.43431,1.712434,6.491187,6.895689,22.50691,0.139844,0.335367,8.207681,1.507936,0.087472,7.09201,
13.5,43.63112,1.695666,6.497554,6.927121,22.70585,0.128679,0.320459,8.264154,1.505967,0.172034,7.072098,
15,43.60745,1.676058,6.496309,6.920978,22.68159,0.157804,0.318194,8.200854,1.522938,0.110155,7.046016,
16.5,43.70407,1.646181,6.496754,6.920765,22.67924,0.183424,0.35834,8.238339,1.531354,0.136599,7.055034,
18,43.58824,1.660825,6.588136,6.915281,22.69863,0.154669,0.349713,8.168405,1.510666,0.110418,7.018736,
19.5,43.61244,1.683363,6.538552,6.875487,22.6907,0.151546,0.343507,8.264656,1.551259,0.104096,7.113225,
21,43.7017,1.70675,6.548161,6.97839,22.64817,0.155041,0.32766,8.208573,1.524809,0.124029,7.00518,
22.5,43.64349,1.688602,6.52213,6.941854,22.67284,0.16436,0.337526,8.185308,1.508901,0.079287,7.034548,
24,43.62893,1.674664,6.576506,6.938983,22.60567,0.156507,0.33184,8.192557,1.528728,0.10016,7.010268,
25.5,43.8419,1.659456,6.531086,7.000522,22.81341,0.176202,0.333654,8.197732,1.528356,0.128443,7.012852,
27,43.4211,1.682021,6.466599,6.917034,22.61156,0.163555,0.346179,8.22343,1.525714,0.081397,6.919163,
28.5,43.63763,1.696203,6.519396,6.930693,22.66921,0.165735,0.329862,8.232285,1.510499,0.061674,6.939819,
30,43.73729,1.652539,6.544958,6.91997,22.73648,0.182432,0.337932,8.235365,1.558816,0.110896,6.833982,
31.5,43.65258,1.639286,6.57457,6.905506,22.7312,0.151926,0.347346,8.249634,1.530828,0.111256,6.934703,
33,43.60096,1.645857,6.548988,6.85381,22.6883,0.170838,0.350581,8.235657,1.564633,0.092072,6.930921,
34.5,43.55979,1.723364,6.499814,6.884605,22.63732,0.159368,0.296953,8.241268,1.528932,0.065616,7.012343,
36,43.43993,1.647008,6.476231,6.836911,22.62481,0.138682,0.363052,8.249762,1.546356,0.096596,7.079419,
37.5,43.56424,1.601291,6.48963,6.925456,22.68386,0.139072,0.320959,8.289924,1.539791,0.072433,7.079892,
39,43.67721,1.700806,6.466145,6.875344,22.70281,0.153502,0.335038,8.330876,1.569197,0.120679,7.146467,
40.5,43.18429,1.606552,6.388142,6.805349,22.49822,0.137638,0.320561,8.286789,1.533844,0.070388,7.116656,
42,43.2,1.62941,6.300765,6.806309,22.44208,0.163522,0.319772,8.398162,1.57284,0.06482,7.142502,
43.5,42.85713,1.643247,6.121171,6.70566,22.34415,0.1109,0.325402,8.428446,1.556677,0.070556,7.215799,
45,41.51108,1.65854,6.422651,6.253561,21.33148,0.13037,0.332106,8.317478,1.576638,0.113376,7.14227,
46.5,42.1274,0.85742,17.00659,3.456798,19.71626,0.074382,0.259397,5.464505,1.072873,0.066607,6.767506,
48,42.74839,0.052096,26.83043,0.652484,18.76235,-0.010983,0.067817,1.169917,0.227186,0.099334,8.262604,
